channel;function;factor;fn_note;fa_note;fn;src0;op0;src1;op1;src2;op2;src3;op3;generator
color;GR_COMBINE_FUNCTION_ZERO;*;0;;replace;previous;c;;;;;;;
color;GR_COMBINE_FUNCTION_LOCAL;*;c_local;;replace;local;c;;;;;;;
color;GR_COMBINE_FUNCTION_LOCAL_ALPHA;*;a_local;;replace;local;a;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER;GR_COMBINE_FACTOR_ZERO;f * c_other;0;replace;local;c;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;c_local;modulate;local;c;other;c;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;a_other;modulate;other;a;other;c;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;a_local;modulate;local;a;other;c;;;;;
;;GR_COMBINE_FACTOR_TEXTURE_ALPHA;;a_texture;modulate;previous;a;other;c;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;lambda;modulate;constant;c;other;c;;;;;lambda
;;GR_COMBINE_FACTOR_ONE;;1;replace;other;c;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;1-c_local;modulate;local;1-c;other;c;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;1-a_other;modulate;other;1-a;other;c;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;1-a_local;modulate;local;1-a;other;c;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_TEXTURE_ALPHA;;1-a_texture;modulate;previous;1-a;other;c;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;1-lambda;modulate;constant;1-c;other;c;;;;;lambda
color;GR_COMBINE_FUNCTION_SCALE_OTHER_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;f * c_other + c_local;0;replace;local;c;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;c_local;add4;local;c;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;a_other;add4;other;a;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;a_local;add4;local;a;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_TEXTURE_ALPHA;;a_texture;add4;previous;a;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;lambda;add4;constant;c;other;c;local;c;zero;1-c;lambda
;;GR_COMBINE_FACTOR_ONE;;1;add;other;c;local;c;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;1-c_local;add4;local;1-c;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;1-a_other;add4;other;1-a;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;1-a_local;add4;local;1-a;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_TEXTURE_ALPHA;;1-a_texture;add4;previous;1-a;other;c;local;c;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;1-lambda;add4;constant;1-c;other;c;local;c;zero;1-c;lambda
color;GR_COMBINE_FUNCTION_SCALE_OTHER_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;f * c_other + a_local;0;replace;local;a;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;c_local;add4;local;c;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;a_other;add4;other;a;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;a_local;add4;local;a;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_TEXTURE_ALPHA;;a_texture;add4;previous;a;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;lambda;add4;constant;c;other;c;local;a;zero;1-c;lambda
;;GR_COMBINE_FACTOR_ONE;;1;add;other;c;local;a;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;1-c_local;add4;local;1-c;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;1-a_other;add4;other;1-a;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;1-a_local;add4;local;1-a;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_TEXTURE_ALPHA;;1-a_texture;add4;previous;1-a;other;c;local;a;zero;1-c;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;1-lambda;add4;constant;1-c;other;c;local;a;zero;1-c;lambda
color;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL;GR_COMBINE_FACTOR_ZERO;f * (c_other – c_local);0;replace;previous;c;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;c_local;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;a_other;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;a_local;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_TEXTURE_ALPHA;;a_texture;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;lambda;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;;1;subtract;other;c;local;c;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;1-c_local;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;1-a_other;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;1-a_local;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_TEXTURE_ALPHA;;1-a_texture;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;1-lambda;invalid;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;f*(c_o-c_l)+c_l = f*c_o+(1-f)*c_l;0;replace;local;c;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;c_local;add4;local;c;other;c;local;1-c;local;c;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;a_other;add4;other;a;other;c;other;1-a;local;c;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;a_local;add4;local;a;other;c;local;1-a;local;c;
;;GR_COMBINE_FACTOR_TEXTURE_ALPHA;;a_texture;add4;previous;a;other;c;previous;1-a;local;c;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;lambda;add4;constant;c;other;c;constant;1-c;local;c;lambda
;;GR_COMBINE_FACTOR_ONE;;1;replace;other;c;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;1-c_local;add4;local;1-c;other;c;local;c;local;c;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;1-a_other;add4;other;1-a;other;c;other;a;local;c;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;1-a_local;add4;local;1-a;other;c;local;a;local;c;
;;GR_COMBINE_FACTOR_ONE_MINUS_TEXTURE_ALPHA;;1-a_texture;add4;previous;1-a;other;c;previous;a;local;c;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;1-lambda;add4;constant;1-c;other;c;constant;c;local;c;lambda
color;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;f * (c_other – c_local) + a_local;0;replace;local;a;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;c_local;replace;local;a;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;a_other;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;a_local;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_TEXTURE_ALPHA;;a_texture;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;lambda;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;;1;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;1-c_local;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;1-a_other;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;1-a_local;invalid;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_TEXTURE_ALPHA;;1-a_texture;invalid;;;;;;;;;
