channel;function;factor;note;fn;src0;op0;src1;op1;src2;op2;src3;op3;generator;fn2;src4;op4;src5;op5;src6;op6;src7;op7
color;GR_COMBINE_FUNCTION_ZERO;*;0;replace;previous;c;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_LOCAL;*;C_local;replace;texture;c;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_LOCAL_ALPHA;*;A_local;replace;texture;a;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER;GR_COMBINE_FACTOR_ZERO;0;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;c_other*c_local;modulate;previous;c;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;c_other*a_other;modulate;previous;c;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;c_other*a_local;modulate;previous;c;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta;modulate;previous;c;constant;c;;;;;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;labda;modulate;previous;c;constant;c;;;;;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;c_other;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;c_other*(1-c_local);modulate;previous;c;texture;1-c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;c_other*(1-a_other);modulate;previous;c;previous;1-c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;c_other*(1-a_local);modulate;previous;c;texture;1-a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;c_other*(1-beta);modulate;previous;c;constant;1-c;;;;;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;c_other*(1-labda);modulate;previous;c;constant;1-c;;;;;lambda;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;c_local;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;c_local*c_other + c_local;modulate;texture;c;previous;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;a_other*c_other + c_local;add4;previous;a;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;a_local*c_other + c_local;modulate;texture;a;previous;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta*c_other + c_local;add4;constant;c;previous;c;texture;c;zero;1-c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;labda*c_other + c_local;add4;constant;c;previous;c;texture;c;zero;1-c;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;c_other+ c_local;modulate;previous;c;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;(1-c_local)*c_other + c_local;add4;texture;1-c;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;(1-a_other)*c_other + c_local;add4;previous;a;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;(1-a_local)*c_other + c_local;add4;texture;1-a;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*c_other + c_local;add4;constant;1-c;previous;c;texture;c;zero;1-c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-labda)*c_other + c_local;add4;constant;1-c;previous;c;texture;c;zero;1-c;lambda;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;a_local;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;c_local*c_other + a_local;add4;texture;c;previous;c;texture;a;zero;1-c;;;;;;;;;;
